instStructName_s;labStructName_s;authFullName_s;title_s;fr_title_s;en_title_s;producedDate_s;journalTitle_s;journalEissn_s;journalIssn_s;conferenceTitle_s;publisher_s;language_s;domainAllCode_s;primaryDomain_s;domain_s;fr_keyword_s;en_keyword_s;anrProjectAcronym_s;europeanProjectTitle_s;abstract_s;halId_s;uri_s
Austrian Academy of Sciences,Université Joseph Fourier - Grenoble 1,Institut polytechnique de Grenoble - Grenoble Institute of Technology,Institut National Polytechnique de Grenoble,Centre National de la Recherche Scientifique,Université Grenoble Alpes;Erich Schmid Institute of Material Sciences\, CD-Laboratory for Local Analysis of Deformation and Fracture,Science et Ingénierie des Matériaux et Procédés;Lisa Krämer,Verena Maier-Kiener,Yannick Champion,Baran Sarac,Reinhard Pippan;Activation volume and energy of bulk metallic glasses determined by nanoindentation;;Activation volume and energy of bulk metallic glasses determined by nanoindentation;2018-10;Materials and Design;;0264-1275;;;en;chim.mate;chim.mate;0.chim,1.chim.mate;;Thermal cycling,High pressure torsion,Bulk metallic glasses,Activation volume,Activation energy,Nanoindentation strain rate jump tests;;;• Nanoindentation strain rate jump tests of 3 BMGs and 3 BMGCs • Development of new method to determine activation energy and volume of shear transformation zones • Testing temperature strongly influences activation energy and volume • Rejuvenation (by HPT and thermal cycling) does not influence activation energy and volume G R A P H I C A L A B S T R A C T a b s t r a c t Nanoindentation strain-rate jump testing was used to determine activation volumes and energies of various metallic glasses and composites. Three different single phase metallic glasses and three composites (two with amor-phous/crystalline Cu and one with an amorphous/amorphous structure) were investigated. The state of the materials was additionally changed by varying the testing temperature between room temperature and 430 °C\, by performing high pressure torsion and by thermal cycling. The results show that testing temperature is the main parameter controlling activation volume and energy\, whereas material modifications by high pressure torsion and thermal cycling do not significantly affect them.;hal-01807726;https://hal.archives-ouvertes.fr/hal-01807726
Université Grenoble Alpes,Commissariat à l'énergie atomique et aux énergies alternatives,Université Savoie Mont Blanc;Laboratoire d'Electronique et des Technologies de l'Information,Laboratoire SYstèmes et Matériaux pour la MEcatronique;Adrien Morel,Gaël Pillonnet,Yohan Wanderoild,Adrien Badel;Dielectric Losses Considerations for Piezoelectric Energy Harvesting;;Dielectric Losses Considerations for Piezoelectric Energy Harvesting;01/06/2018;Journal of Low Power Electronics;;1546-1998;;;en;spi.nrj,spi.tron,spi.mat,spi.acou,spi.meca.vibr,phys.cond.cm-ms;spi.nrj;0.spi,1.spi.nrj,0.spi,1.spi.tron,0.spi,1.spi.mat,0.spi,1.spi.acou,0.spi,1.spi.meca,2.spi.meca.vibr,0.phys,1.phys.cond,2.phys.cond.cm-ms;;Energy Harvesting,Piezoelectricity,Dielectric Losses,Electrical Interface,PZT,PMN-PT,PZN-PT;;;During the last decades\, vibrations-based piezoelectric energy scavenging has been widely investigated as a way to replace or complement batteries to power sensor nodes in closed and confined environments. Piezoelectric ceramics exhibit conductive and dielectric losses. However\, in most models used in energy harvesting\, these losses are disregarded\, as they appear to be relatively small in manufacturer datasheets. In this paper\, after briefly introducing the origins of those losses\, we experimentally prove that they are strongly dependent on the electric field in the material. This means that the datasheets data\, obtained under low electric field characterizations\, are not representative of the actual material losses under real-world vibrations. Thereafter\, we prove that these losses limit the harvesting energy bandwidth\, and we deduce the theoretical performance boundaries of piezoelectric harvesters. Finally\, we study how harvesting energy on a linear resistive load is impacted by the losses in the piezoelectric material. Experimental results are in good agreement with our analysis and show that these losses should be taken into account in the electromechanical models in order to accurately predict the harvestable power from a linear piezoelectric harvester.;hal-01865139;https://hal.archives-ouvertes.fr/hal-01865139
Politecnico di Torino [Torino],Université Savoie Mont Blanc,Centre National de la Recherche Scientifique,Centre National de la Recherche Scientifique,Aix Marseille Université;Laboratoire Optimisation de la Conception et Ingénierie de l'Environnement,Institut universitaire des systèmes thermiques industriels;Matteo Bilardo,Gilles Fraisse,Mickael Pailha,Enrico Fabrizio;MODELLING AND PERFORMANCE ANALYSIS OF A NEW CONCEPT OF INTEGRAL COLLECTOR STORAGE (ICS) WITH PHASE CHANGE MATERIAL,MODÉLISATION ET ANALYSE DES PERFORMANCES D'UN NOUVEAU CONCEPT DE STOCKAGE DE CAPTEUR AUTO-STOCKEUR AVEC MATÉRIAU À CHANGEMENT DE PHASE;MODÉLISATION ET ANALYSE DES PERFORMANCES D'UN NOUVEAU CONCEPT DE STOCKAGE DE CAPTEUR AUTO-STOCKEUR AVEC MATÉRIAU À CHANGEMENT DE PHASE;MODELLING AND PERFORMANCE ANALYSIS OF A NEW CONCEPT OF INTEGRAL COLLECTOR STORAGE (ICS) WITH PHASE CHANGE MATERIAL;2019;Solar Energy;1471-1257;0038-092X;;;en;spi.meca.ther;spi.meca.ther;0.spi,1.spi.meca,2.spi.meca.ther;;;;;Solar Domestic Hot Water (SDHW) systems represent a constantly evolving technology in today's applications. With the new directives promoted by the European Union the renewable energy share produced in buildings will tend to increase further. Research on how to increase the efficiency of the thermal production from renewable energy are therefore of the foremost importance. This study aims to investigate the energy performance of an integral collector storage (ICS) prototype for DHW production. This ICS represents a new concept technology\, integrating inside the same device a flat plate absorber and a storage section with phase change material (PCM) connected by heat pipes filled with methanol. An objective of this study was to investigate a possible alternative to conventional solar systems\, with the aim of reducing investment costs and improving system reliability without compromising energy performance. The energy assessment was carried out using a numerical model in the Engineering Equation Solver (EES) environment\, following an electrical analogy scheme. After a validation process by means of experimental data\, a yearly simulation was launched in order to estimate the productivity and the solar fraction of the prototype. The results obtained allowed a global energy evaluation and a comparison with similar systems and to identify the pros and cons of this new technology.;hal-02172156;http://hal.univ-smb.fr/hal-02172156
Université Grenoble Alpes,Commissariat à l'énergie atomique et aux énergies alternatives,Université Jean Monnet [Saint-Étienne],Institut National des Sciences Appliquées de Lyon,Université Claude Bernard Lyon 1,Centre National de la Recherche Scientifique,Institut National de la Santé et de la Recherche Médicale,Université Jean Monnet [Saint-Étienne],Institut National des Sciences Appliquées de Lyon,Université Claude Bernard Lyon 1,Centre National de la Recherche Scientifique,Institut National de la Santé et de la Recherche Médicale;Laboratoire d'Electronique et des Technologies de l'Information,Centre de Recherche en Acquisition et Traitement de l'Image pour la Santé,Centre de Recherche en Acquisition et Traitement de l'Image pour la Santé;Y. Pavia,A. Brambilla,V. Rebuffel,N. Freud,J M Létang,L. Verger;Breast density and iodine quantification in spectral mammography;;Breast density and iodine quantification in spectral mammography;01/01/2018;Biomedical Physics & Engineering Express;2057-1976;;;;en;spi.signal,sdv.ib.ima;spi.signal;0.spi,1.spi.signal,0.sdv,1.sdv.ib,2.sdv.ib.ima;;;;;Breast density is known for being a parameter used in breast cancer risk models and might be measured during mammography exams. Automated methods based on grayscale values already exist\, but they only allow a density estimation over the whole breast. Material decomposition approaches make it possible to define the breast density at each pixel based on a dual energy exposure. Furthermore\, the use of contrast enhanced digital mammography exams is increasing and helps physicians to highlight blood vessels with higher permeability that may be related to malignant lesions. Nevertheless\, this technique also requires two x-ray exposures. In this paper\, we propose to take benefit of energy sensitive x-ray detectors that give access to several energy measurements in a single shot acquisition to both quantify breast density and iodine during a single mammography exam. To this purpose\, a spectral mammography acquisition chain has been simulated and different material decomposition methods have been proposed and investigated using a simulated phantom under clinically achievable settings with an average absorbed dose by the mammary gland of 0.93 mGy (mimicking a 45 mm thick breast made of 50% fibroglandular tissue) using a 49 kVp with a tungsten anode\, an inherent filtration of 0.8 mmBe and an additional filtration of 1.2 mmAl. Breast density is commonly defined as the ratio between glandular tissue and the sum of adipose and glandular tissues thicknesses. Standard polynomial material decomposition methods have been extended to make them compliant with 3-energy measurements in order to allow a three-material decomposition: adipose and glandular tissues as well as iodine concentration. Those methods allow to estimate iodine concentration with an average accuracy inferior to 0.15 mg ml?1 and breast density with a precision inferior to 8% (root-mean-square errors). Nevertheless\, these methods are difficult to extend to more energy channels due to the least-square model inversion. To achieve better results\, a maximum log-likelihood approach has been introduced to take into consideration more spectral information while improving accuracy and precision on measurements. Moreover\, the use of the proposed method permits to accurately detect the absence of iodine and significantly improves the estimation of breast density compared to polynomial approaches. We also highlighted that there is a strong interest to increase the number of energy thresholds from 3 to 6\, a less significant gain is still noticeable with more energy bins.;hal-01722886;https://hal.archives-ouvertes.fr/hal-01722886
National Research Council of Italy,Consejo Superior de Investigaciones Científicas [Spain],Université Grenoble Alpes,Commissariat à l'énergie atomique et aux énergies alternatives,University of Ioannina,Foundation for Research and Technology - Hellas,Universidade Federal de São Carlos [São Carlos];CNR-ISTEC,Instituto de Ciencia de Materiales de Madrid,Laboratoire d'Electronique et des Technologies de l'Information;Pietro Galizia,Miguel Alguero,Nicolas Bernier,Narciso Gambacorti,Eleni Aza,Alexandros Lappas,Michel Venet,Carmen Galassi;Magnetoelectric dual-particulate composites with wasp-waisted magnetic response for broadband energy harvesting;;Magnetoelectric dual-particulate composites with wasp-waisted magnetic response for broadband energy harvesting;2019;Journal of Alloys and Compounds;;0925-8388;;;en;spi;spi;0.spi;;Multiferroic,Multiple parallel twinning,Quite-fast sintering,Isothermal remanence magnetization IRM,Irreversible susceptibility,Magnetoelectric diode;;NANOSCIENCE FOUNDRIES AND FINE ANALYSIS - EUROPE;"Dual-particulate composites of cobalt ferrite dispersed in a fully dense PZT matrix are produced by quite-fast sintering of mechanically activated powders. By high-energy milling of the powders a bi-modal grain size distribution\, with octahedral nano-grains and larger grains grown by multiple parallel twinning\, are achieved in the final microstructure. The material display a ""wasp-waisted"" magnetic response as a consequence of the two main CoFe2O4 grain populations and can be exploited for broadband energy harvesting or field sensors. After poling under 5 kV/mm\, a maximum d(33) of 30 pC/N was achieved. This value is an order of magnitude lower than that of bulk PZT. Nevertheless\, a magnetoelectric coefficient of 1.74 mV cm(-1) Oe(-1) is obtained\, which suggests the high potentiality of these materials\, since this value is higher than that shown by magnetoelectric composites with similar composition and connectivity reported in literature. This is so for a partially poled material and thus\, magnetoelectric coefficients should be significantly increased by improving the poling process.";cea-02186461;https://hal-cea.archives-ouvertes.fr/cea-02186461
Advanced Lithium Energy Storage Systems - ALISTORE (FRANCE),Delft University of Technology,European Synchrotron Radiation Facility,Université Montpellier 1,Université Montpellier 2 - Sciences et Techniques,Ecole Nationale Supérieure de Chimie de Montpellier,Université de Montpellier,Centre National de la Recherche Scientifique,Univ Liege\, Inst Chem\, CESAM Res Unit\, GREENMAT\, B-4000 Liege\, Belgium,Bar Ilan Institute of Nanotechnology and Advanced Materials (BINA),Centre National de la Recherche Scientifique,UT-Battelle\, LLC,Centre National de la Recherche Scientifique;Advanced Lithium Energy Storage Systems - ALISTORE (FRANCE),Institut Charles Gerhardt Montpellier - Institut de Chimie Moléculaire et des Matériaux de Montpellier,Bar Ilan Institute of Nanotechnology and Advanced Materials (BINA),Synchrotron SOLEIL;Marcus Fehse,Dimitrios Bessas,Ali Darwiche,Abdelfattah Mahmoud,Guy Rahamim,Camille La?fontaine,Raphael Hermann,David Zitoun,Laure Monconduit,Lorenzo Stievano,Moulay Tahar Sougrati;The Electrochemical Sodiation of FeSb 2 : New Insights from Operando 57 Fe Synchrotron Mössbauer and X-Ray Absorption Spectroscopy;;The Electrochemical Sodiation of FeSb 2 : New Insights from Operando 57 Fe Synchrotron Mössbauer and X-Ray Absorption Spectroscopy;2019-01;Batteries & Supercaps;;;;;en;chim.mate;chim.mate;0.chim,1.chim.mate;;;;Advanced lithium energy storage systems based on the use of nano-powders and nano-composite electrodes/electrolytes (ALISTORE);Operando Sb K?edge X?ray absorption spectroscopy and 57Fe Synchrotron Mössbauer Spectroscopy\, used for the first time in the field of operando energy storage materials\, assisted by operando magnetic measurements\, were combined to clarify the role of iron and antimony in the electrochemical reaction mechanism of FeSb2 as negative electrode material for sodium?ion batteries (SIB). Both datasets were analyzed using an innovative chemometric approach involving principal component analysis (PCA) and multivariate curve resolution – alternating least square analysis (MCR?ALS) yielding new insights on the sodiation reaction. Our findings show that the reaction of Na with FeSb2 during discharge leads to the formation of Na3Sb along with superparamagnetic Fe amorphous nanoparticles which contain small amounts of Sb dissolved in their lattice. During the following desodiation\, the pristine material FeSb2 is not recovered while iron nanoparticles grow in size\, and continue growing also along the following discharge. Even though such iron nanoparticles remain electrochemically inactive\, they play a key role in the reduction and stabilization of the polarization as well as in the reversibility of the electrochemical sodiation of antimony.;hal-01980761;https://hal.archives-ouvertes.fr/hal-01980761
Université de Bordeaux,Institut Polytechnique de Bordeaux,Centre National de la Recherche Scientifique,Commissariat à l'énergie atomique et aux énergies alternatives,Commissariat à l'énergie atomique et aux énergies alternatives,Université Savoie Mont Blanc,Centre National de la Recherche Scientifique,Centre National de la Recherche Scientifique,Advanced Lithium Energy Storage Systems - ALISTORE (FRANCE);Institut de Chimie de la Matière Condensée de Bordeaux,CEA Tech en régions,Laboratoire d'Innovation pour les Technologies des Energies Nouvelles et les nanomatériaux,Advanced Lithium Energy Storage Systems - ALISTORE (FRANCE);Ségolène Pajot,Pierre Feydi,François Weill,Michel Ménétrier,Gunay Yildirim,Loïc Simonin,Laurence Croguennec;Synthesis of Li and Mn-rich layered oxides as concentration-gradients for lithium-ion batteries;;Synthesis of Li and Mn-rich layered oxides as concentration-gradients for lithium-ion batteries;07/02/2018;Journal of The Electrochemical Society;;0013-4651;;;en;chim.mate;chim.mate;0.chim,1.chim.mate;;;;;Li and Mn-rich layered oxides\, i.e. Li1+xM1-xO2 (M = Mn\, Ni and Co)\, are attractive positive electrode materials for Li-ion batteries due to their promising high specific capacities. Unfortunately\, these materials provide an energy-density fading due to a continuous voltage decay resulting from chemical instability of their surface structure upon cycling. The purpose of this paper is to discuss the main insights got from syntheses of materials targeted to be concentration-gradients of global compositions Li1+x(Ni0.29Mn0.53Co0.18)1-xO2 with: (i) Li and Mn-rich layered oxides in the core to deliver high capacity\, and (ii) layered oxides enriched in Ni and in Co moving to the surface of the spherical aggregates to promote improved chemical and thermal stability for the electrode material. Concentration-gradient\, core-shell or re-homogenized materials were obtained depending on the temperature and excess of lithium used for the high temperature thermal treatment (i.e. the second step of the synthesis). Despite complex to master\, the engineering of layered oxide materials was shown to be a track to follow to optimize the performance of an electrode material.;hal-01739204;https://hal.archives-ouvertes.fr/hal-01739204
Université de Tours,Sungkyunkwan University [Suwon],Centre National de la Recherche Scientifique,Université Grenoble Alpes,Commissariat à l'énergie atomique et aux énergies alternatives;Physico-chimie des Matériaux et des Electrolytes pour l'Energie,Institut de Recherche Interdisciplinaire de Grenoble;Rana Nakar,An-Na Cho,Nicolas Berton,Jérôme Faure-Vincent,François Tran Van,Nam-Gyu Park,Bruno Schmaltz;Triphenylamine 3\,6-carbazole derivative as hole-transporting material for mixed cation perovskite solar cells;;Triphenylamine 3\,6-carbazole derivative as hole-transporting material for mixed cation perovskite solar cells;2018-07;Chemical Papers;1336-9075;0336-6352;;;en;chim,chim.mate;chim;0.chim,0.chim,1.chim.mate;;Mixed cation,Carbazole,Triphenylamine,Hole transporting material,Perovskite solar cells;;;A new hole transporting material based on 3\,6-disubstituted carbazole (3\,6Cz-TPA) was synthesized through a one-step approach and was used as hole-transporting material in perovskite solar cells. The HTM exhibits molecular glass behavior and a high glass transition temperature of 146 °C. A hole-mobility of 7.0?×?10?6 cm2 V?1 s?1 has been measured which is slightly lower than the mobility of spiro-OMeTAD (2.5?×?10?5 cm2 V?1 s?1). The HOMO energy level\, similar to the HOMO of spiro-OMeTAD\, is suitable to allow the hole injection from the perovskite. Solar cells based on organic–inorganic hybrid cation perovskite light absorber have been built. The optimization of the concentration of the HTM shows an optimal concentration around 30 mM. Finally\, the perovskite cells based on 3\,6Cz-TPA as HTM lead to a power conversion efficiency around 16%\, similar to the most commonly used spiro-OMeTAD (17%).;hal-02055665;https://hal.archives-ouvertes.fr/hal-02055665
EDF,Université Grenoble Alpes,Université Joseph Fourier - Grenoble 1,Institut National Polytechnique de Grenoble,Université Savoie Mont Blanc,Institut polytechnique de Grenoble - Grenoble Institute of Technology,Centre National de la Recherche Scientifique;Matériaux et Mécanique des Composants,Laboratoire d'Electrochimie et de Physico-chimie des Matériaux et des Interfaces;A. Batard,T. Duforestel,L. Flandin,B. Yrieix;Modelling of long-term hygro-thermal behaviour of vacuum insulation panels;;Modelling of long-term hygro-thermal behaviour of vacuum insulation panels;2018;Energy and Buildings;;0378-7788;;;en;spi.mat;spi.mat;0.spi,1.spi.mat;;Lmops73,Heat transport,Gas permeation,Core material behaviour,Modelling,Vacuum insulation panels;;;The low thermal conductivity of Vacuum Insulation Panels (VIPs) degrades with time due to gas perme-ation through VIPs barriers. There is additional ageing of their envelope and core material. Accelerated experiments are carried out in order to better understand this ageing process but they are not sufficient to predict the long term performance of panels. Models have to be used to connect the short term evaluation and the long term behaviours in order to improve the prediction of the thermal conductivity evolution over 50 years. This paper describes the development of a VIP model in the Dymola ® software. This model takes into account the envelope and core material hydro-thermal characteristics and behaviours\, and integrates the actual solicitations of the panels during accelerated ageing tests. The thermo-activation of the envelope permeance is integrated. Many properties of the core material are modelized: type of core material\, sorption isotherm\, hygro-thermal ageing\, pore size distribution\, etc. Simulations in constant conditions in temperature and humidity have been carried out. The results show that the real behaviour of the VIPs conductivity can't be simply evaluated through a linear extension of its short-term evolution. Given the important impact of the core material detailed characteristics\, it is absolutely necessary to get an accurate determination of the core material sorption curve and of the ageing of this curve.;hal-01822407;http://hal.univ-smb.fr/hal-01822407
Japan Atomic Energy Agency,Centre National de la Recherche Scientifique,Université Toulouse III - Paul Sabatier,Institut National des Sciences Appliquées - Toulouse,Tohoku University [Sendai],Centre National de la Recherche Scientifique,Université Toulouse III - Paul Sabatier,Institut National des Sciences Appliquées - Toulouse,Université Joseph Fourier - Grenoble 1,Université Grenoble Alpes;Japan Atomic Energy Agency,Laboratoire national des champs magnétiques intenses - Toulouse,Institut de Recherche Interdisciplinaire de Grenoble,Institute for Material Research,Laboratoire national des champs magnétiques intenses - Grenoble;Y. Tokunaga,A. Orlova,N. Bruyant,D. Aoki,H. Mayaffre,S. Krämer,M.-H. Julien,C. Berthier,M. Horvati?,N. Higa,T. Hattori,H. Sakai,S. Kambe,I. Sheikin;High-field phase diagram of the heavy-fermion metal CeIn3: Pulsed-field NMR study on single crystals up to 56 T;;High-field phase diagram of the heavy-fermion metal CeIn3: Pulsed-field NMR study on single crystals up to 56 T;28/02/2019;Physical Review B : Condensed matter and materials physics;1095-3795;0163-1829;;;en;phys.cond.cm-sce;phys.cond.cm-sce;0.phys,1.phys.cond,2.phys.cond.cm-sce;;Antiferromagnetism,Magnetic phase transitions,Metamagnetism,Phase diagrams,Quantum phase transitions;;;The heavy-fermion antiferromagnet CeIn3 exhibits a field-induced anomaly associated with Fermi surface reconstruction at H??45 T\, well below the antiferromagnetic (AFM) critical field that exceeds 60 T. In order to explore the origin of this anomaly\, we have measured 115In NMR spectra in pulsed magnetic fields up to 56 T using high-quality single crystals. To within experimental resolution\, we do not detect any change in the NMR spectra that could suggest a modification in either the character of the hyperfine field or the electric field gradient at In sites through H?. This strongly suggests that the 45 T anomaly cannot be simply ascribed to a field-induced change in the magnetic structure of the AFM state. Neither do we find any evidence of changes in the crystallographic structure or in the distribution of charge density at H?. The field dependence of the NMR shift implies the existence of a field-induced anomaly in the hyperfine coupling above H?.;hal-02055781;https://hal.archives-ouvertes.fr/hal-02055781
